TILE_0_0,-559087616,0,0
TILE_1_0,-559087616,1,0
TILE_2_0,-559087616,2,0
TILE_3_0,-559087616,3,0
TILE_4_0,-559087616,4,0
TILE_5_0,-559087616,5,0
TILE_6_0,-559087616,6,0
TILE_7_0,-559087616,7,0
TILE_8_0,-559087616,8,0
TILE_9_0,-559087616,9,0
TILE_10_0,-559087616,10,0
TILE_11_0,-559087616,11,0
TILE_12_0,-559087616,12,0
TILE_13_0,-559087616,13,0
TILE_14_0,-559087616,14,0
TILE_15_0,-559087616,15,0
TILE_16_0,-559087616,16,0
TILE_17_0,-559087616,17,0
TILE_18_0,-559087616,18,0
TILE_0_1,-559087616,0,1
TILE_1_1,-559087616,1,1
TILE_2_1,-559087616,2,1
TILE_3_1,-559087616,3,1
TILE_4_1,-559087616,4,1
TILE_5_1,-559087616,5,1
TILE_6_1,-559087616,6,1
TILE_7_1,-559087616,7,1
TILE_8_1,-559087616,8,1
TILE_9_1,-559087616,9,1
TILE_10_1,-559087616,10,1
TILE_11_1,-559087616,11,1
TILE_12_1,-559087616,12,1
TILE_13_1,-559087616,13,1
TILE_14_1,-559087616,14,1
TILE_15_1,-559087616,15,1
TILE_16_1,-559087616,16,1
TILE_17_1,-559087616,17,1
TILE_18_1,-559087616,18,1
TILE_0_2,-559087616,0,2
TILE_1_2,-559087616,1,2
TILE_2_2,-559087616,2,2
TILE_3_2,-559087616,3,2
TILE_4_2,-559087616,4,2
TILE_5_2,-559087616,5,2
TILE_6_2,-559087616,6,2
TILE_7_2,-559087616,7,2
TILE_8_2,-559087616,8,2
TILE_9_2,-559087616,9,2
TILE_10_2,-559087616,10,2
TILE_11_2,-559087616,11,2
TILE_12_2,-559087616,12,2
TILE_13_2,-559087616,13,2
TILE_14_2,-559087616,14,2
TILE_15_2,-559087616,15,2
TILE_16_2,-559087616,16,2
TILE_17_2,-559087616,17,2
TILE_18_2,-559087616,18,2
TILE_0_3,-559087616,0,3
TILE_1_3,-559087616,1,3
TILE_2_3,-559087616,2,3
TILE_3_3,-559087616,3,3
TILE_4_3,-559087616,4,3
TILE_5_3,-559087616,5,3
TILE_6_3,-559087616,6,3
TILE_7_3,-559087616,7,3
TILE_8_3,-559087616,8,3
TILE_9_3,-559087616,9,3
TILE_10_3,-559087616,10,3
TILE_11_3,-559087616,11,3
TILE_12_3,-559087616,12,3
TILE_13_3,-559087616,13,3
TILE_14_3,-559087616,14,3
TILE_15_3,-559087616,15,3
TILE_16_3,-559087616,16,3
TILE_17_3,-559087616,17,3
TILE_18_3,-559087616,18,3
TILE_0_4,-559087616,0,4
TILE_1_4,-559087616,1,4
TILE_2_4,-559087616,2,4
TILE_3_4,-559087616,3,4
TILE_4_4,-559087616,4,4
TILE_5_4,-559087616,5,4
TILE_6_4,-559087616,6,4
TILE_7_4,-559087616,7,4
TILE_8_4,-559087616,8,4
TILE_9_4,-559087616,9,4
TILE_10_4,-559087616,10,4
TILE_11_4,-559087616,11,4
TILE_12_4,-559087616,12,4
TILE_13_4,-559087616,13,4
TILE_14_4,-559087616,14,4
TILE_15_4,-559087616,15,4
TILE_16_4,-559087616,16,4
TILE_17_4,-559087616,17,4
TILE_18_4,-559087616,18,4
TILE_0_5,-559087616,0,5
TILE_1_5,-559087616,1,5
TILE_2_5,-559087616,2,5
TILE_3_5,-559087616,3,5
TILE_4_5,-559087616,4,5
TILE_5_5,-559087616,5,5
TILE_6_5,-559087616,6,5
TILE_7_5,-559087616,7,5
TILE_8_5,-559087616,8,5
TILE_9_5,-559087616,9,5
TILE_10_5,-559087616,10,5
TILE_11_5,-559087616,11,5
TILE_12_5,-559087616,12,5
TILE_13_5,-559087616,13,5
TILE_14_5,-559087616,14,5
TILE_15_5,-559087616,15,5
TILE_16_5,-559087616,16,5
TILE_17_5,-559087616,17,5
TILE_18_5,-559087616,18,5
TILE_0_6,-559087616,0,6
TILE_1_6,-559087616,1,6
TILE_2_6,-559087616,2,6
TILE_3_6,-559087616,3,6
TILE_4_6,-559087616,4,6
TILE_5_6,-559087616,5,6
TILE_6_6,-559087616,6,6
TILE_7_6,-559087616,7,6
TILE_8_6,-559087616,8,6
TILE_9_6,-559087616,9,6
TILE_10_6,-559087616,10,6
TILE_11_6,-559087616,11,6
TILE_12_6,-559087616,12,6
TILE_13_6,-559087616,13,6
TILE_14_6,-559087616,14,6
TILE_15_6,-559087616,15,6
TILE_16_6,-559087616,16,6
TILE_17_6,-559087616,17,6
TILE_18_6,-559087616,18,6
